Year,Origin,Dest,Distance,Flights_Count,DepDelay_Sum,ArrDelay_Sum
2001,SLC,DFW,988,2860,413,517
2001,SLC,GEG,546,1298,259,272
2001,SLC,JFK,1989,1090,84,145
2001,SLC,LAS,368,4648,822,903
2001,SLC,OAK,588,1454,188,196
2001,SLC,ONT,558,1073,216,249
2001,SLC,SEA,689,3227,486,576
2001,SLC,SNA,588,1402,168,267
2001,SMF,IAD,2358,303,17,21
2001,SMF,ONT,389,4268,831,776
2001,SMF,SEA,605,3282,849,908
2001,SNA,DEN,846,1860,301,351
2001,SNA,PIT,2115,728,36,41
2001,SNA,SLC,588,1399,310,342
2001,SRQ,ATL,445,2146,285,387
2001,SRQ,CLT,547,1094,94,124
2001,STL,BDL,957,1439,196,187
2001,STL,BWI,737,3171,453,488
2001,STL,DEN,770,3797,561,668
2001,STL,TYS,405,55,7,6
2001,STT,JFK,1623,304,33,33
2001,STX,SJU,94,178,59,73
2001,SYR,ATL,793,716,91,100
2001,SYR,CLT,603,395,20,35
2001,SYR,CVG,527,323,23,41
2001,TPA,CLE,927,952,35,46
2001,TPA,DFW,929,3234,331,385
2001,TPA,JFK,1005,730,85,78
2001,TPA,MDW,997,906,78,82
2001,TPA,MHT,1204,296,9,7
2001,TPA,MIA,204,3038,623,747
2001,TPA,PBI,174,2260,449,375
2001,TPA,PHX,1788,571,44,40
2001,TPA,SDF,727,364,7,5
2001,TUL,DAL,237,2946,683,632
2001,TUS,ABQ,321,508,133,103
2001,TYS,STL,405,55,9,10
2002,ABQ,SAN,628,1420,232,218
2002,ABQ,STL,934,1931,156,162
2002,AKN,ANC,289,174,40,39
2002,AKN,DLG,71,148,40,37
2002,ANC,AKN,289,322,78,84
2002,ANC,SEA,1449,6448,613,625
2002,ANC,SLC,2125,847,22,31
2002,ATL,BDL,859,2352,281,371
2002,ATL,CVG,373,3139,555,849
2002,ATL,DEN,1199,4534,345,460
2002,ATL,MEM,332,4013,763,1277
2002,ATL,MKE,669,1263,172,224
2002,ATL,OKC,761,1082,167,199
2002,ATL,PNS,272,2151,412,627
2002,ATL,TUL,674,1310,211,298
2002,ATL,TYS,152,1862,337,570
2002,AUS,LAS,1090,1091,32,28
2002,AUS,MSP,1042,877,40,46
2002,AUS,TPA,928,365,48,38
2002,AVL,CLT,92,980,65,187
2002,AVP,PIT,243,1017,83,140
2002,BDL,ATL,859,2325,169,348
2002,BDL,BWI,283,2696,837,774
2002,BDL,CLT,644,1672,125,250
2002,BDL,DCA,313,1079,74,88
2002,BGR,LGA,378,459,112,133
2002,BHM,CVG,396,686,44,51
2002,BHM,MCO,478,365,45,40
2002,BHM,MSY,321,2345,583,562
2002,BIL,FCA,320,95,34,38
2002,BIL,GTF,177,93,26,34
2002,BIL,HLN,174,65,13,13
2002,BIL,SLC,387,704,75,112
2002,BNA,CMH,338,644,36,30
2002,BNA,DFW,631,2858,210,288
2002,BNA,MHT,938,726,94,69
2002,BNA,PIT,462,1016,79,109
2002,BOI,DFW,1272,419,50,48
2002,BOI,LAX,674,2,0,0
2002,BOI,RNO,335,1047,108,102
2002,BOS,DFW,1562,4085,268,354
2002,BOS,SJC,2689,614,26,30
2002,BOS,STL,1046,1795,162,164
2002,BTR,MEM,319,25,2,2
2002,BTV,PIT,454,699,56,104
2002,BUF,DFW,1212,197,6,4
2002,BUF,MSP,734,643,59,75
2002,BUR,PDX,817,1054,164,155
2002,BUR,SJC,296,3026,669,628
2002,BWI,BDL,283,2674,988,895
2002,BWI,DFW,1217,2246,203,248
2002,BWI,IND,515,1043,191,160
2002,BWI,ORF,159,2378,834,928
2002,BWI,PVD,328,3804,1249,1187
2002,BWI,SAT,1407,365,11,12
2002,BZN,SLC,347,728,50,118
2002,CLE,MHT,544,2,0,0
2002,CLE,PHL,363,164,26,44
2002,CLE,PHX,1737,1452,80,95
2002,CLE,PVD,540,213,10,23
2002,CLT,AVL,92,979,155,184
2002,CLT,BDL,644,1368,159,173
2002,CLT,LGA,544,3378,598,591
2002,CLT,MHT,737,730,117,166
2002,CLT,ORF,290,2139,328,398
2002,CLT,PIT,366,3269,643,689
2002,CLT,SFO,2296,1026,95,88
2002,CLT,STT,1520,321,21,27
2002,CMH,BNA,338,651,38,53
2002,CMH,DTW,155,1650,242,297
2002,CMH,LAX,1996,357,18,26
2002,CMH,STL,410,2630,387,435
2001,MIA,SJU,1045,3768,636,661
2001,MKE,ATL,669,1057,146,180
2001,MKE,IAH,984,268,23,24
2001,MLI,STL,187,2028,301,362
2001,MSN,MSP,228,1684,218,253
2001,MSP,DAY,574,717,114,172
2001,MSP,DEN,680,5089,975,1176
2001,MSP,GFK,284,566,109,155
2001,MSP,HNL,3972,374,33,29
2001,MSP,LIT,703,1,0,0
2001,MSP,MSN,228,1721,301,492
2001,MSP,ORD,334,12419,2953,3725
2001,MSP,RAP,490,1336,172,239
2001,MSP,TUS,1298,368,33,37
2001,MSY,BHM,321,2347,699,621
2001,MSY,BWI,998,971,109,91
2001,MSY,CLT,651,1781,202,227
2001,MSY,IND,708,365,59,46
2001,MSY,SLC,1428,301,18,19
2001,MSY,TPA,487,2294,502,452
2001,MTJ,EWR,1795,15,0,1
2001,MTJ,ORD,1081,9,1,1
2001,OAK,LAS,407,4330,1097,1037
2001,OAK,MCI,1489,729,51,41
2001,OAK,PDX,543,3762,745,701
2001,OAK,SEA,671,5173,1305,1471
2001,OGG,HNL,100,8851,2507,3067
2001,OGG,SJC,2356,364,28,27
2001,OKC,BWI,1180,1,0,0
2001,OKC,HOU,419,1326,230,264
2001,OKC,IAH,395,1387,183,226
2001,OKC,MEM,432,1338,155,203
2001,OMA,LAS,1099,1192,136,115
2001,OMA,ORD,416,3224,733,809
2001,OMA,STL,342,2730,524,560
2001,ORD,BNA,409,1725,323,342
2001,ORD,GSP,577,1424,465,477
2001,ORD,IAD,589,3770,845,882
2001,ORD,MSP,334,12361,2872,3291
2001,ORD,MTJ,1081,10,1,0
2001,ORD,OMA,416,3481,965,1044
2001,ORD,PSP,1652,504,51,47
2001,ORD,SAT,1041,2181,339,404
2001,ORD,STL,258,6856,1677,2000
2001,ORD,TVC,224,1515,546,536
2001,ORD,XNA,522,1694,479,511
2001,ORH,JFK,150,635,242,291
2001,PBI,DCA,857,802,99,105
2001,PBI,PIT,952,735,64,77
2001,PDX,DEN,992,2468,386,398
2001,PDX,IAH,1825,1012,58,50
2001,PDX,OAK,543,3776,696,656
2001,PDX,SAN,933,1551,232,237
2001,PDX,SEA,129,1097,282,382
2001,PDX,SMF,479,1823,422,376
2001,PHL,CLT,448,3883,819,1005
2001,PHL,GSO,365,1432,316,401
2001,PHL,GSP,514,278,82,80
2001,PHL,JAX,742,1094,210,239
2001,PHX,ABQ,328,6413,1681,1809
2001,PHX,BOI,735,697,151,193
2001,PHX,BOS,2300,1060,158,193
2001,PHX,BUF,1912,365,64,39
2001,PHX,CLE,1737,1258,84,96
2001,PHX,CVG,1569,1200,75,79
2001,PHX,LAS,256,12418,3754,4122
2001,PHX,LAX,370,14515,4056,4003
2001,PHX,MEM,1263,379,41,35
2001,PHX,RDU,1891,86,1,1
2001,PHX,SEA,1107,5467,831,1026
2001,PHX,SMF,647,3933,745,755
2001,PIT,BUF,186,1453,366,369
2001,PIT,HPN,345,679,142,154
2001,PIT,JFK,340,1336,427,452
2001,PIT,MCO,834,2780,394,522
2001,PIT,PBI,952,847,98,119
2001,PIT,RSW,966,731,85,102
2001,PIT,SDF,335,1423,228,291
2001,PSC,SLC,521,808,76,93
2001,PSP,LAX,110,4031,1356,1480
2001,PSP,ORD,1652,504,50,57
2001,PSP,SJC,390,118,26,36
2001,PVD,BNA,907,695,85,88
2001,PVD,CLE,540,151,3,12
2001,PVD,CVG,722,728,59,65
2001,RAP,MSP,490,1335,164,214
2001,RDU,ATL,356,3396,415,578
2001,RDU,BWI,255,1794,384,330
2001,RDU,CLT,130,3175,692,783
2001,RDU,DCA,227,579,167,187
2001,RDU,IAD,224,306,64,47
2001,RDU,JFK,426,1738,545,566
2001,RDU,PHX,1891,86,3,2
2001,RDU,SAT,1225,52,2,4
2001,RDU,STL,667,1397,128,137
2001,RIC,BOS,474,1176,390,377
2001,RNO,SFO,192,1452,455,440
2001,RNO,SMF,113,1,0,0
2001,ROC,DTW,296,1007,124,153
2001,ROC,EWR,246,56,18,19
2001,RSW,BWI,919,335,40,37
2001,RSW,CMH,930,234,16,19
2001,RSW,EWR,1068,1551,312,330
2001,RSW,IAD,890,12,1,1
2001,RSW,LGA,1080,577,162,161
2001,RSW,PIT,966,730,57,68
2001,SAN,CVG,1865,817,40,44
2001,SAN,ONT,94,50,4,9
2001,SAN,PDX,933,1548,216,273
2001,SAN,SFO,447,4800,1470,1470
2001,SAT,AUS,66,514,123,162
2001,SAT,HRL,233,720,182,166
